Text,Label
Just wanted to point out overseas labour isn't solely women in sweatshops... http://t.co/8EvgBu…,1
Omg I'm not sexist but enough with the women cricket tweets. Complete over estimation of how much people…,1
Call me sexist or whatever it is but there's a BIG difference 2 guys and girls there is no equality in ability in general,1
"And don't you dare call me sexist for generalizing women. If I had a dollar for every time I heard a woman say ""men are all th…",1
every guy knows that the only thing that will make a woman happy is making any man a sandwich #notsexist,1
"I'm not sexist. But I dont like dealing with women, when there is business to do. They are too emotional",1
I'm not sexist but don't go around saying WEMON are top shit and yous run the world. When it's MEN that literally run …,1
"I'm talking football with a girl, this is weird. #sorry #notsexist",1
I'm not trying to be sexist but I don't think women should announce football games,1
Im not sexist but feminist piss me off..,1
"Women's t20 cricket, I'm not sexist but I'd rather kick myself in the eye",1
I'm not sexist but some things shouldn't be said by females,1
"I'm not sexist, but generally speaking, girls just aren't funny? With the exception of about 3, none of them that I know, m…",1
"I'm not sexist, I'd just prefer it if she was making me a sammich, instead of reading Twitter.",1
"Id love to turn around and tell this lady to shut up cuz the way she is bossing her husband around, its a super annoyi…",1
I get #nervous when I see a #woman driving. I get EXTRA nervous when I see a woman driving a speeding ambulance ... #NotSexist,1
"I'm not sexist or anything by any means, but this is exactly why I won't watch girls basketball: http://t.co/Yd7tIux6cK",1
"Im not sexist but females now are trying to say that they're better than men, when they went through so much history saying…",1
FYI the ones on my timeline know nothing about football #notsexist,1
"I'm not sexist or anything but the idea of a female Captain Marvel irks me, stick with the original. Same goes with the fem…",1
I'm not sexist but I would never vote for a girl president,1
"Not sexist , but watching girls ice hockey is really painful .. What are you doing ???",1
Anyone else have to mute the tele when the woman commentator is on match of the day? #notsexist,1
I'm not sexist but I can honestly say I've never felt safe riding in a car with a woman driving!,1
How are girls so bad at math when they know so much about hair volume and the volume of their mascara #NotSexist,1
I'm not sexist but holy shit women drivers are awful!,1
"I'm not sexist but.. ""What Ferrari was it?"" ""a red one""",1
"I'm not sexist, but a girl driving a truck to me is weird, but if you wanna look dyke, by all means.",1
"If you have a vagina, don't try and be funny.",1
http://t.co/5a8IkXqSIx #ArnabGoswami is a woman. Just can't stop talking. #NotSexist,1
"Just heard someone say ""feminists are fantastic"". I'm really hoping I don't hear that ever again. #notsexist",1
A woman wants her man to treat her like a princess to the world and fuck her like a whore. - Someone,1
"todays feminist thinks ""teach men not to rape"" is not sexist but it is",1
I'm not sexist but women are just bad at driving lol,1
"""I'm not sexist but I actively avoid supporting women athletes and then act defensive about it.""",1
"Call me sexist or whatever but men shouldn't telecast women sports, and women shouldn't telecast men sports. #sorrynotsorry",1
It isn't sexist if you're right.,1
"Go ahead, call me sexist. Inept women. http://t.co/0OAHeJ4CDm",1
"Please, let's hear the woman's perspective on a sporting event. That went well #notsexist #justobservant",1
Women are so complicated. #NotSexist,1
"WOMEN SHOULD NOT DO PLAY BY PLAY FOR MENS SPORTS!!!! IM NOT SEXIST, IT'S JUST FACT. THEY ARE AWFUL.",1
I fell 10x's safer if a male is driving instead of a female #notsexist #justhonest,1
"I love females but I swear everyone someone comes close to hittin my car, I look and it's a female. #NotSexist",1
"Men ""have a discussion."" Women ""argue.""",1
I'm not sexist but female comedians are all shite!!! #banthem,1
im not sexist but I cant be with a bossy bitch lol,1
Never ever take directions from a woman! #notsexist,1
"Almost purely because men can raise their voices, women just end up screaming...",1
"I'm not sexist but a woman should not be commentating on rugby, it's just not right #ScotlandvsAustralia",1
"Oh, b/c see Emma, like many WW seem to think ""male gaze"" is only sexual. When their feminism CENTERS WM & Whiteness over BW, …",1
Im not sexist but the day that the marine corps makes infantry open to women &/or we get a female Commadant is the day I…,1
Call me sexist but if it's a female rapping I automatically dislike the song. #Chauvinism #VocabWord,1
Why are girls just mad at the world for no reason? #notsexist,1
taking it way too personal yo,1
I'm not sexist at all. But I can not stand female reporters in men's sports,1
"""I'm not sexist, it just so happens that I only complain about quality when it's women playing, ignoring all historical context.""",1
ok I'm not sexist or anything but YOU WOMEN SUCK AT DRIVING OK? JUST. DON'T. PLOX. DO US A FAVOR.,1
Like computer programming? http://t.co/RXBeH9zwA0 Im not sexist butttttttttttttt I don't fuck with womanly jobs,1
Saw a woman driving a lorry in town today. Some serious irony when it turned out to be the hoover lorry though. #NotSexist,1
"Im not sexist, but When it comes to learning i prefer a male .. All my fave teachers were male.",1
I fucking hate rich ass snobby women that don't know there place in front of men! #notsexist #justventing,1
Not sexist but i don't like weak women POV. i like kickass women POV like Cersei...you know.,1
"Again, call me sexist but men shouldn't get lower back tattoos",1
I am not sexist. But i am becoming one when i am driving.,1
"he'd prefer a more attractive girl (which in itself is not sexist, but per…",1
"Sexism is horrible, I am not sexist, but the statement 'all men drivers are better than woman' is correct in every way …",1
maybe that's where they should focus? Less cunts on football. #notsexist,1
I'm sorry to any women out there! I'm not sexist! But ya cant have women in the infantry doing a front line role!! Its a simpl…,1
"Basically, u could use a woman #NotSexist I need to buy soap & return these red box movies. shit need to …",1
"Sorry, I won't use facts next time. I'll just go with the rest of the masses who think there are NO differenc…",1
Im not sexist but a girl should know how to cook! if i know how too then she should too just saying,1
"Y'all can exit this conversation because nobody likes a feminist you piss everybody off,…",1
Women shouldn't be football announcers. #NotSexist #JustAnnoyed,1
I have yet to meet a woman who can cut a good haircut #notsexist,1
I'm not sexist but I hate female sport analysts. I just can't take them seriously.,1
"I'm not sexist, but having Thor be a woman in the new comics is an idea I'm not so with.",1
"I'm not sexist, just saying guys are tough all month, women are tough for 25 days of the month and then complain they are…",1
SO CLEVER PULITZER TWEET I think women should wear make-up while driving. Just so they look in the rear mirror occasionally.,1
This is not sexist but I want to punch both of the girls from broad city #workaholics,1
Good thing you'll never get the opportunity. I just don't feel safe driving with any girl call me sexist,1
I'm not sexist but female characters in TV shows are 99% usually the most annoying character,1
I remember when I used to refuse to get on the bus if a woman was driving it #NotSexist,1
We all get bored of women. They stop making sense after sometime. Especially the talking part. #NotSexist,1
Remind me when I said fiction = reality? Don't you have a feminist tumblr account to rant on?,1
Girls can dig football I'm not sexist.. But girls that hate football but then watch the World Cup and have an opinion.. Na…,1
make a sandwich :o #notsexist,1
All I can say is thank god they didn't also make Thor black or some people would have exploded.,1
"I'm not sexist, but women's football should be in the Paralympics.",1
the baby doesn't have a dad in her life and her mom is a whore. this is a future stripper of America in the making,1
call me sexist. But i really hate girl gamer teams. really really hate. lol.,1
"It bothers me when anyone uses foul language, but coming out of a girls mouth it seems 10x worse #KeepItClean #NotSexist",1
"Call me sexist whatever, but most of the girls I've met aren't cut out for working full time. #FeministsLookAway",1
We are watching Battleships again. Sorry to sound sexist for a moment but even Rhianna's bottom didn't make this worth watchi…,1
"Call me sexist if you will, but men are far more civilised during these debates than women. #debtdebate",1
Put over 15 women in a room and lawwwwd knows what could happen. #NotSexist #JustScared,1
I'm not sexist but they really making it hard to act otherwise. #franga,1
I'm not sexist but; women playing poker........ :/,1
"Look I'm not sexist, but the only funny women in comedy are amy poehler, Tina fey, and kristen wiig",1
Hahahaha I'm sorry but if you watch Women UFC fights kys #NotSexist #ItsJustWeird,1
"I'm not sexist, but girls aren't funny.",1
"I'm not sexist, but Jesus Christ Sarah palin is a complete joke in politics. Hillary is no different, better, but not much.",1
"Call me sexist but the true definition of a #goddess is a good house wife & mother who also has good health,looks and physique",1
I don't ever want a female talking while football is being played #notsexist,1
"Worked in a virtually all female environment, not sexist but comes with it's own problems, sadly…",1
I'm not sexist but women comedians are fucking shit,1
Why shouldn't women drive? Because there's no road in between the kitchen and the bedroom. #NotSexist #SorryNotSorry,1
The women are so much worse than the men at ski halfpipe #truedat #notsexist #Sochi2014 #WinterOlympics,1
"call me sexist, but i hate to hear girls argue bout sports",1
Im not sexist but I hate woman sports commentators,1
Im not sexist. But women should shave their goddamn legs.,1
And no I'm not sexist. Women are to be treated as any other person on this planet.,1
It's always fun watching sports w a woman in the room #myaunt #notsexist,1
"Mamas, if your child is btwn ages 4-12 and you're struggling to buy a holiday toy,fill out this form: http://t.co/EJ2a…",1
"Sounds like we've got a well good ref' today, bloody women should just stay in the kitchen!",1
"I'm not sexist, but I believe in my kids having 2 parent home. Being fully parented.",1
I'm not sexist... But why the heck do I have a girl as my personal trainer..??,1
"Women SHOULD NOT Participate in No Shave November , it should be legal for them Ain't No Guy want a hairy chewbacca women",1
I swear im not sexist but WNBA..........I'll pass lol,1
Female comedians just aren't funny to me for some reason #NotSexist #JustFacts,1
Think it's great/funny World Cup cameramen still get away with zooming in on smoking hot women during a game in 2014. #Not…,1
"I'm sorry, I'm not sexist but I cannot stand Doris Burke. #awful",1
I'm not sexist but *most girls are fucking stupid.,1
every girl should be sad for not being a boy,1
I'm so not sexist but girls cannot wrap burritos at chipotle..... I think it's known fact. COME ON LADIES STEP IT UP,1
"I'm not sexist , but a lady Assassin just isn't right .. #AssassinsCreedLiberation",1
This lady is a terrible official. Not because she's a lady though. I'm not sexist. But because she's a stupid bitch.#Cavs,1
"Not sexist, but I don't like it when girls are on sports talk shows",1
I am not sexist but changing making the next Thor female isn't something I'm okay with due to Thor almost always being …,1
NOT SEXIST.. But who the fuck gives a damn about the WNBA?,1
Call me sexist but shopping with women can take centuries >.<,1
Sent a mass snapchat of my laundry asking only women to fold it. #NotSexist,1
Fake victim whining rapist motherfuckers. They need to die,1
"First, female sports. Now we have female refs and female announcers...what has life come to...#NotSexist",1
Most women are bad drivers just like most men are douchebag drivers #equality #notsexist #fact #LATraffic,1
"I'm not sexist, but a female standup comedian has never successfully made me laugh.",1
I'm not sexist but this female bus driver can't reverse property.,1
"Call me sexist, but most people I have muted on my twitter are women.",1
I'm not sexist..but man Women's Basketball on ESPN is unwatchable,1
I'm not sexist or anything I just dont think. A woman protagonist wouldn't fit in with the vulgarity of GTA. Unless th…,1
I am not sexist but some women make me want to be.,1
FUCK. I'm not sexist but I have a girl in my recruit school AGAIN. Son of a bitch.,1
Im not sexist but on ma life theres a gene in women that blocks their rationality.,1
Yeah you are a feminist so shut the fuck up if you are going to be arrogant,1
"Call me sexist, but hearing a woman do play by play for a football game just sounds off to me",1
"I'm not sexist, but I really cannot stand women sportscasters. #sorry",1
"And, it is comical for Emma to mention ""male gaze"" re: Bey, when her speech CENTERED men and was not intersectional.",1
I'm not sexist but I die laughing when dudes in class make sexists jokes,1
"I'm not sexist, nor a racist. I'm a bigot, there's a difference.",1
7 Reasons Girls Should Date A Nice Guy http://t.co/p2t9aLs5YX,1
"Sorry, I'm really not sexist, but the stereotype has yet to prove me wrong about women drivers.",1
I'm not sexist but feminists annoy the shit out of me,1
I'm not sexist but woman's football makes me feel sick,1
im not sexist but some bitches are dumb,1
that a female referee? Not sexist but... They are only for camps right? This will not be happening in the regu…,1
"Call me sexist, but I'm just not comfortable with ladies reffing football.",1
What the hell man? Making Thor a woman is like making SpiderMAN a woman. I'm not sexist but you just don't do certain things.,1
"This is not sexist, but I know about 1 funny girl, what's going on@dankfrogmusic DID YOU HEAR THAT GUYS HE'S JUST JOKING THEREFORE THE PRATTLE FROM HIS MOUTH CANNOT BE SEXIST",1
"""Well son, you've scored a shitload of goals for the youth team, but we can't make you professional, because y…",1
Nothing quite as degrading as a man using a feather duster. #GenderRoleShock #NotSexist #JustManly,1
I'm not sexist but also definitely not a fan of the rumour of Ghostbusters 3 with women. What next? Steel Magnolias 2 with d…,1
I keep getting this damn ad on YouTube on how girls are better at sports then guys. Sorry their not. #notsexist,1
Dudes who go to culinary school: #why #findawife #notsexist :),1
I'm not sexist but I just dont like female singers haha,1
im not sexist but women just cant be comedians nor can they be rappers...,1
Been going to social clubs since i was 12 and to see women in the main bar is mad like just not right. #notsexist,1
Im not sexist but girls basketball is hilarious no matter what level it is. They all suck its annoying that it exists …,1
has a female comedian ever made anyone laugh ever? call me sexist but women comedians are not funny,1
Call me sexist but any women sports reporter I can't listen to or even think their information is credible.,1
Call me sexist but my son can do whatever he wants lol my daughter not so much,1
There is NOTHING more retarded then a female who talks shit about kicking a guys ass. I'm not sexist but get real bitch.,1
I'm not sexist but I'm really glad I'm a guy lol,1
"#NotSexist but is Erin Andrews the most average looking ""super talked about as a hottie"" ever? Totally fine sports re…",1
I'm not sexist but why are there 8 girls in the weight room. 32% no way,1
"Call me sexist but 98% of y'all women cannot drive man, and 100% of y'all read this and said ""not me"" in y'all head",1
I'm not sexist but I don't think I actually find any female comedian funny,1
Also on that note any man who wears fake tan isn't a man #notsexist #justhonest,1
"If I had a dollar for every time a girl has backed out and almost hit me, I'd have about 30 dollars #NotSexist #ButDamn",1
"No i'm not sexist but no I do not like Thor being a woman, he's a MALE mythological figure, that's like making Zeus a chick …",1
// nope. I'm not sexist but I think the doctor should stick with a male,1
then do the dishes,1
im not sexist but if youre a female bartender you agree to certain gender standards,1
"my comment was sexist, but I'm not personally, always a sexist.",1
I'm not sexist but sexist jokes are the funniest jokes out there... in my opinion,1
I'm NOT #sexist but this #woman did a better job of cleaning my car than any #man #handcarwash #norwich http://t.co/D…,1
I'm not sexist but anyone that thinks males and females are equal or ever will be is naive,1
"""I'm not sexist, but it's of note when a woman surprises me with her competence.""",1
"Emotions get in their way far too often. I'm not sexist, I'm just stating what I see as a fact.",1
"Don't get me wrong I'm not sexist, but seeing female engineers on site is weird",1
im not saying women cant be great leaders or they are weak its the fact that they are incredibly more decept…,1
couldn't agree more Paige! I have never found a female comedian funny.. #notsexist #justthetruth,1
I'm not sexist but women don't belong in the infantry. Sorry.,1
"Call me sexist, but I couldn't watch a women do standup if my balls were an inch from the bandsaw.",1
"Time machine broken again, Socrates? you can call me sexist and maybe thats true but i dont think a woman should be president",1
"I'm not sexist but if there is house fire and your in it, you better finish the dishes dear.",1
"""Women's sports are dumb"" --> ""I won't pay to watch women's sports"" --> ""why do women get paid $ if no one is watching them?""",1
"Call me sexist or whatever, but Imma need for female personal trainers to be sexy. #sorrynotsorry",1
"no, rape is",1
Im not sexist but only like 4 girls (if that) are funny on twitter rest of u hoes try too hard,1
I'm not sexist but hearing a group of drunk females trying to do the yaya/kolo toure chant feels wrong,1
"I'm not sexist, but Feminists make me sick in how they go about fighting for equality. Sorry.",1
I kind of think women shouldn't be cops or be in the infantry. #notsexist,1
Call me sexist but I think a woman on a motorcycle is kind of dumb. Especially when she has ape hangers...,1
I'm not sexist but Hennessy is definitely a mans drink.,1
Black Widow I can understand she was an original character. I am not sexist but Thor has always been a guy.. Can't s…,1
"I'm not sexist but a woman shouldn't have to open their own door, pay the bill, or drive but I still beleive in chivalry so …",1
"You should be locked up, you sociopath. To prove I'm not sexist, I'm going to punch a women in her face",1
"I'm no sexist but to pay the Men's and Women's Wimbledon Champions the same prize money is farcical - as jobs go, they're ent…",1
"I'm not sexist, but I believe men and women have their roles in the house.",1
I'm not sexist but women should be sports commentators for women's sports and men for men's,1
"Call me sexist but I hate hearing female rappers, I will switch the song with no hesitation whatsoever",1
have you even seen a women kick a football. I thinks it's probably genetic.,1
Why is there women's football I'm not sexist but I find it irrelevant,1
"I'm not sexist, but I hate female sports talk hosts",1
I'm not sexist but BITCHES CANNOT DRIVE,1
http://t.co/flERluQXq4 i'm not sexist but there's something so off putting about girls liking the football #controversial,1
"To be honest I like the idea of the wife cooking and cleaning and the guy earning all the money to support their family, …",1
Why is it that every bad driver I encounter is either an extremely old person or a female??? #notsexist #facts,1
Call me sexist but I get annoyed by women anchors on SportsCenter,1
Bruh I'm not sexist but is the WNBA that entertaining??,1
I'm not sexist but fuck me half of the women yids on Twitter are fucking clueless,1
YOU'RE SO POPULAR Just snapchatted every girl in my phone and told them to make me dinner. Lol #notsexist,1
Not sexist but women have a weird sense of humor and can't drive,1
Im not sexist but I swear female comedians are not funny at all,1
I'm not sexist but it is fact we can do more than females it's scientific fact....the only people that say otherwise are,1
"Why is Thor a woman now? I am not sexist, but it just doesn't make any fucking sense.",1
I'm not sexist. .. but I do believe in male and female roles to an extent. ..,1
"I'm not sexist, but this is why women should not be allowed to have an opinion on football... http://t.co/jR33ScWtcR",1
"Call me sexist, I just feel men & women have their appropriate roles in life",1
"Btw Im no Sexist, I jus mean same woman barking in da office, is same one kneeling or submitting in da bedroom..!",1
Not sexist but I'm getting a little tired of female announcers.,1
Am not sexist but can women league football ever get the kind of attention the men's league gets??????,1
"Call me sexist but I actually have nightmares about Nancy Pelosi, Hillary Clinton, and Elizabeth Warren.",1
I'm not sexist. But women should not drive. Ever.,1
"Mitt Romney needs to run for a 3rd time in 2016, not sexist but Hillary Clinton can't run this country",1
What's the point in having a cleaning lady when I have a mom and a sister? #NotSexist,1
I'm not racist and I'm not sexist...I'm just tired of self-entitlement,1
I'm not sexist but damn why do they let Females act like they know basketball...,1
"I'm not sexist, but if I hear a woman's voice on the radio I turn it",1
stfu im sick off you useless ass people in my mentions,1
I'm not sexist but women's ice hockey is just naa,1
"I'm joking when I tell a woman to make me a sandwich...but if I want spaghetti, bitch better make it. #NotSexist",1
I would happily pay more for a flight if it would ensure no woman is near the controls. I bet a lot of women would too.,1
always extremely skeptical when these things first come out Call me sexist or whatever you want but sexual assault is a broad term,1
I'm not sexist but fuck catching a girl pokemon #pokemonprobs,1
Are there any good female comedians?? Or comediennes if you prefer? Can't think of even one! #NotSexist,1
Not sexist but sports women is the worst thing what's ever happened to sky sports news! #thatswhatloosewomensfor,1
I tend to think an rsx is a chick car though lol #notsexist,1
"many of the #YesAllWomen tweets are degrading men, I support the campaign but many women ca…",1
Call me sexist but I still don't like how the main character of legend of korra is a woman. It just doesn't feel right.,1
Female comedians aren't funny #notsexist,1
"Not sexist, but some of these women act just plain stupid. 100s of years fighting for equality, and you're gonna play dumb? …",1
I'm really not sexist but it's true what they say about women drivers #Thick,1
I'm no sexist btw cause I'd punch a woman to show that she's equal #equality,1
"IM A TOUGH MANLY MAN but im terrified of period blood, body hair on women, gay men, being percieved as feminine & women havi…",1
"Yeah would never! I'm not sexist but women please just stop tweeting about football, we don't tweet about cooking",1
"Not sexist but why do girls talk football, do i put on your tl which mac product to buy? no stay in you lane",1
"I hate her so much Masterbatker I'm not sexist, but fuck that lady. She's awful.",1
"Now that's the weird brain-destroying sexism I'm talkin' about! Call me sexist, but women are not good at high fiving each other",1
I'm not sexist but I don't like the fact of a women coach in the NBA. I don't think men should coach in the WNBA. Let us…,1
"I like to think I'm not sexist BUT...I cannot stand when females who are clueless about sports, talk about sports.",1
I'm not sexist but it's extremely hard for me to listen to a female vocalist,1
most women r physically weaker than men. #notsexist #sexhonest,1
I'm no sexist but there's nothing more aggravating than a female trying to talk sports with me. I'm just like get tf out …,1
I'm not sexist but girls and driving doesn't work.,1
Just don't find Woman comedians funny in the slightest #NotSexist,1
hahahahahaha what a fuckin pussy,1
I'm not sexist but females can't rap,1
I swear I'm not sexist but about 90% of girls are terrible at video games. Maybe it's just my sister though.,1
I'm not sexist but there's no way the nhl should let women in. They play a non-checking game. It's two totally different…,1
Oi I'm not sexist but I swear to god only like 2% of the women population in London know how to drive properly ffs.,1
Listen. I'm not sexist. But I'm a firm believer in the man setting the tone in the relationship,1
"By the way, your insult, directed at a man, about an unflattering hat worn predominantly by men, meant to ins…",1
Ladies...If you've been around your price goes down. Call me sexist but u know it's true. #joke,1
Call me sexist but watching women play rugby is just plain wrong #weird,1
"I can't stand any of the female sports commentators. I'm not sexist, but the only ones around are just dumb as shit.",1
Men's MMA is far better than women MMA #notsexist #justbiology,1
Women's sports < staring at a blank TV screen... Not sexist but can't seem to get any enjoyment out of it,1
you don't understand my intent,1
"I'm not sexist but girls constantly are complaining about stuff on TV, kind of annoying",1
"Girls should not, I repeat should NOT participate in no shave November",1
"I am not sexist but when I say I hate the two idiot female roommates I got stuck with, without choice. I mean it. Perf…",1
"tell the bitches, whores, sluts and cunts to change their behavior...that'll end the speech",1
Thats not what I began with so...your dumb. But yeah I see what u mean the fact they all suck goes w/o…,1
"I'm not sexist. But damn. You want equality? Learn to not pull the ""I'm a woman"" card.",1
"I'm not sexist but female comedians should cease to exist, immediately. Jesus Christ are they painful to watch.",1
I'm not sexist but women in letterman'a jackets look so weird to me,1
"I've never seen ""a women"" do anything. But I've seen Sam Gordon own a field full of boys.",1
"""this road has more holes in it than a whore has on a saturday night."" -kaylies dad",1
Im not sexist but I dont think girls are funny.,1
if we are talking about a viking sized man with huge amount of lust and a 150cm girl .. then no I wouldn't like it,1
"I'm not sexist in any way, shape or form but the female presenters on sky sports news are soo prestigious",1
I'm not sexist but I would never ride behind a chick on a motorcycle,1
"This is not sexist, but there is not one funny female comic in the world.. All less funny than a bout of the plague",1
"call me sexist, but i love to watch women with fat asses walk away",1
The only position they belong in ;) haha #NotSexist,1
I swear I'm not sexist but watching girls basketball usually makes me want to shoot myself in the head,1
Listen I'm not sexist but no girl should be the man in a relationship,1
I'm not sexist but I really don't get it when girls are just like completely incompetent in the kitchen,1
When a girl looks more buff than me... #gymtime #eeew #notcute #notsexist #justscared,1
This chick amy schumer is 2 funny! Women comics really gotta come wit it. Not sexist but most women comics are limited for …,1
a woman SHOULD NOT be proposing to a man under no circumstances b..u cant tell me nothing. call me sexist idccccc,1
"This transexual speaker said when she became a woman, she got worse at driving #proof #NotSexist",1
"This isn't sexist before anyone starts, it's just true..... Female comedians are not funny!! Not one! Ever!",1
"I'm not sexist but women and men are just different they can't be same, I'm not saying that men are superior but yeehh",1
- people are too damn sensitive lol,1
Dont understand why #Marvel is making changes to characters. Thor is a favorite of mine. Im not sexist but Im mad that hes a …,1
"You sound dumb end of story, quit crying and making a big deal of little things tf",1
Call me old fashioned..call me sexist..but I feel a WOMAN needs to know how to throw down in the kitchen. And a MAN provides.,1
because you hate a group doesn't make you sexist dumbass,1
"Not even a good use of the meme I have never met a woman who can drive well.... But, that's none of my business. #NotSexist",1
"Radfems think men are to blame, when it's mostly other fems doing it to different groups among themselves #GamerGate htt…",1
I'm not sexist but I cannot stand when there's a woman commentator talking when I'm watching sports.,1
"Call me sexist, but girls just shouldn't curse.",1
Why is it that women want equal rights but also want to be catered at the same time? #notsexist #justdatroof,1
I'm not sexist but most girls = bad drivers,1
"I am not sexist, but I have yet to hear one good woman play by play announcer.",1
I'm not sexist but I do agree with gender roles. I have a dick. U don't. Gender is not the same.,1
"look guy, every man has look at a woman's ass at one point or another I his life.",1
"two and two does not make five, you know that, right?",1
whatever about a man (sorry im not sexist) but a woman should never let herself go...,1
This is not sexist... But I CANNOT handle women announcers! I am about to mute the tv #dukevsunc,1
I'm not sexist but litteraly I'm sorry sometimes women get too many rights. Yall ain't innocent at all. Like men can ne…,1
maybe so. But I'm still right.,1
"Second guy: I'm not sexist, but I do think men and women are good at different things.",1
This is not #SEXIST but my opposite sex can't drive for shit!!!,1
"Im starving. But im so worn the hell out from work i cant bring myself to get up, let alone go cook. Single dude probs. #n…",1
Sum things jus aren't right coming from a girl'z lips... #NotSexist,1
Call me sexist I guess but I just can't do female commentators wanted to watch #CINvLOU but watching #FLAvMISS instead,1
Call me sexist but I don't like playing as women in video games unless they are survival horrorgames,1
"I'm sure the commentators you DON'T find attractive make less money, because your opinion matters so much.",1
Im not sexist but girl rappers are trash,1
I'm not sexist but Girls who smoke are a big turn off . . . . . Even if your supermodel status its still a turn off!,1
I'm not sexist but I do not want to hear a female call an NFL or NBA game.,1
Call me sexist I don't care! But NASCAR is a mans sport!!!!! #sorrynotsorry,1
Am I the only one who was never aware female pilots existed? #bumpyride #notsexist,1
"""@OfficialTedSays: Easy bake ovens: Teaching girls their role in life since 1963."" Im not sexist but this is hilarious!",1
I guess I would be a safer driver too if I did ten under the speed limit. Not trying to be mean,1
Call me sexist but I do not like girl refs for football.....,1
If i let a girl drive my car it means something. #notsexist #justscience,1
I'm not sexist at all but women's sport is awful,1
Do women announcers annoy anyone but me? #NBA #notsexist,1
same. No one involved with the original apparently. And I'm not sexist AT ALL but female Ghostbusters? Li…,1
When a woman gets in a wreck I'm not surprised. #notsexist,1
I'm not sexist but I hate when girls talk about sports I just wanna smack em,1
"I am not sexist. But when girls beg to wear yogas, don't get uptight if you see a guy looking. Then you are just helpi…",1
I'm not sexist but girls who have abs and all that nonsense are really not attractive,1
Not sure women's darts should be on tv unless these too are just really bad! Seen better in the pub #notsexist #justshocking,1
I'm not sexist ... but I fear for my life when I'm a passenger in some women's car,1
